source_id,claim,author_or_body,publisher,source_class,primary_or_secondary,title,url,pub_date,effective_date_or_version,retrieved_at,exact_location,authoritative_scope,independence_group,limitations,archive_or_hash
FRM-S14,"PEP 615 established zoneinfo's fallback behavior (system tz data first, then the first-party tzdata PyPI package) for the standard library; the PEP itself gives no mechanism for pinning a specific IANA release via zoneinfo/tzdata",Python Steering Council / PEP authors,peps.python.org (Python Software Foundation),governing-primary,primary,PEP 615 -- Support for the IANA Time Zone Database in the Standard Library,https://peps.python.org/pep-0615/,2019-11,"Accepted PEP, Python 3.9+",2026-07-29T14:07:32Z,Rationale / Specification sections on the tzdata fallback package,Python language standards (official PEP),python-tz-official-docs,Fetched via WebFetch (summarized); not independently re-verified against raw HTML in this session,
IMP-S01,"Attribution verification frameworks define attribution as verifiability of a claim against an independent source via a two-stage (interpretability then attribution) annotation test, supporting a separate verify-support step distinct from the extraction step.","Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, David Reitter (Google Research)",MIT Press / Computational Linguistics (ACL Anthology),original-research,primary,Measuring Attribution in Natural Language Generation Models,https://aclanthology.org/2023.cl-4.2/,2023-12,Computational Linguistics vol. 49 no. 4 (journal-of-record version; first posted as arXiv:2112.12870 in 2021),2026-07-29T14:10:34Z,"Abstract and framework description: AIS stipulates NLG output about the external world 'is to be verified against an independent, provided source'; two-stage annotation pipeline (interpretability stage INT, then attribution stage INT&AIS), confirmed independently via github.com/google-research-datasets/AIS README",Defines the AIS attribution-evaluation methodology for NLG systems generally; not finance/weather-domain specific,Google Research authors,"Full annotator-guideline appendix (exact 'According to [source]...' test wording) was not independently re-extracted from the PDF body, only the abstract/framework and the companion GitHub README were read",n/a
IMP-S02,Citation-level support can be auto-checked by an NLI (natural-language-inference) entailment model computing citation recall (does the cited passage entail the statement) and citation precision (is each individual citation non-redundant support) -- basis for a separate verify-support pass over LLM-extracted claims before admission.,"Tianyu Gao, Howard Yen, Jiatong Yu, Danqi Chen (Princeton NLP)",arXiv preprint; EMNLP 2023 (ACL Anthology 2023.emnlp-main.398),original-research,primary,Enabling Large Language Models to Generate Text with Citations,https://arxiv.org/abs/2305.14627,2023-05-23,v3 / EMNLP 2023 camera-ready,2026-07-29T14:10:34Z,"ar5iv HTML full text, Citation Recall/Precision definitions: recall=1 iff citation set is non-empty and phi(concat(cited passages), statement)=1; a citation is irrelevant iff phi(that citation, statement)=0 AND the remaining citations still entail the statement; entailment model is TRUE (Honovich et al. 2022), a T5-11B model fine-tuned on NLI datasets","Automatic citation-support metrics for LLM-generated text with citations; general-domain (ASQA/QAMPARI/ELI5), not finance/weather-specific",Princeton NLP group,"Read via ar5iv HTML mirror rather than the arXiv PDF itself; is a preprint (also peer-reviewed at EMNLP 2023, not independently re-verified against the camera-ready PDF)",n/a
IMP-S03,"LLM/web knowledge has an empirically measured staleness structure (never-changing / slow-changing / fast-changing / false-premise); fast-changing facts are answered correctly under 15% of the time without live retrieval, which supports assigning explicit freshness/re-verification-interval fields to claims rather than treating all extracted facts as equally durable.","Tu Vu, Mohit Iyyer, Xuezhi Wang, Noah Constant, Jerry Wei, Jason Wei, Chris Tar, Yun-Hsuan Sung, Denny Zhou, Quoc Le, Thang Luong (Google DeepMind / Google Research)",arXiv preprint; ACL Findings 2024,original-research,primary,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,https://arxiv.org/abs/2310.03214,2023-10-05,v3 / ACL Findings 2024 (aclanthology 2024.findings-acl.813),2026-07-29T14:10:34Z,"ar5iv HTML full text, Figure 1 (four knowledge-category definitions incl. 'the answer typically changes within a year or less' for fast-changing); Section 2.1 ('we excluded questions whose answers are likely to change more frequently than once per week'); Section 3.1 (GPT-4 'never exceeds 15% across both evaluation modes' on fast-changing questions without search; reaches 77.1% with FreshPrompt augmentation)","General open-domain web-QA staleness benchmark; not finance-filing or weather-data specific, but directly informs re-verification cadence design",Google DeepMind/Research,"Preprint (also later peer-reviewed at ACL Findings 2024, not independently re-diffed against that version)",n/a
IMP-S04,"LLM-as-judge evaluators exhibit measurable position bias, verbosity/format bias, and self-enhancement bias large enough to flip verdicts, which bounds how much an admission pipeline should trust a single LLM verifier call and motivates double-order judging and/or human review at high-stakes gates.","Lianmin Zheng, Wei-Lin Chiang, Ying Sheng, Siyuan Zhuang, Zhanghao Wu, Yonghao Zhuang, Zi Lin, Zhuohan Li, Dacheng Li, Eric P. Xing, Hao Zhang, Joseph E. Gonzalez, Ion Stoica",arXiv preprint; NeurIPS 2023 Datasets & Benchmarks Track,original-research,primary,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,https://arxiv.org/abs/2306.05685,2023-06-09,NeurIPS 2023 camera-ready,2026-07-29T14:10:34Z,"ar5iv HTML full text: position-bias section (GPT-4 65% vs Claude-v1 23.8% consistency under swapped answer order); repetitive-list verbosity attack (failure rate Claude-v1 91.3%, GPT-3.5 91.3%, GPT-4 8.7%); self-enhancement section (GPT-4 favors itself +10% win rate, Claude-v1 +25%); mitigation text: 'a conservative approach is to call a judge twice by swapping the order of two answers and only declare a win when an answer is preferred in both orders'","Reliability limits of LLM-as-judge measured on chat-assistant pairwise judging tasks; extrapolating to a domain claim-verification admission gate is an inference, not a direct finding of this paper",UC Berkeley-led academic group (LMSYS),"Preprint (also NeurIPS 2023 peer-reviewed, PDF not independently re-diffed); biases measured for response-quality judging, not for structured-claim-support judging specifically",n/a
IMP-S05,"SEC's own structured XBRL API (data.sec.gov companyconcept/companyfacts/frames) returns each numeric financial fact tagged with its source accession number (accn), filing form, and filed date -- directly supporting a claim-type rule that numeric financial facts must come from a structured endpoint with the accession number recorded.",U.S. Securities and Exchange Commission,SEC (data.sec.gov),governing-primary,primary,XBRL companyconcept API response (data.sec.gov/api/xbrl/companyconcept),https://data.sec.gov/api/xbrl/companyconcept/CIK0000320193/us-gaap/Revenues.json,"n/a (live API, no publication date)",schema as retrieved 2026-07-29,2026-07-29T14:10:34Z,"Live JSON response, units.USD[0]: {'start': '2015-09-27', 'end': '2016-09-24', 'val': 215639000000, 'accn': '0000320193-18-000145', 'fy': 2018, 'fp': 'FY', 'form': '10-K', 'filed': '2018-11-05', 'frame': 'CY2016'} -- fetched directly via curl and parsed","Canonical machine-readable source for individual company XBRL financial facts, US GAAP/IFRS taxonomies, all SEC-registered filers","SEC (issuer-submitted XBRL, standardized by the SEC's own EDGAR ingestion, not a third-party data vendor)","Values are company-submitted XBRL tags, not independently re-audited by SEC for tagging correctness (see S06, S08 on tagging-quality caveats)",n/a
IMP-S06,"SEC staff guidance on XBRL tagging acknowledges that custom (non-standard) tags and axes materially harm comparability and are officially discouraged, i.e. the SEC itself flags standardization/tagging-quality risk in company-submitted XBRL -- supporting a caveat on the structured-data claim-type rule rather than treating XBRL as automatically clean.","U.S. Securities and Exchange Commission, Division of Economic and Risk Analysis / Office of Structured Disclosure",SEC.gov,governing-primary,primary,Staff Interpretations and FAQs Related to Interactive Data Disclosure,https://www.sec.gov/data-research/structured-data/office-structured-disclosure-staff-observations-guidance-trends/staff-interpretations-faqs-related-interactive-data-disclosure,ongoing (living FAQ page),retrieved 2026-07-29,2026-07-29T14:10:34Z,Question E.16: 'We strongly recommend that filers utilize the pre-defined table definition and presentation links and axes... Custom tables and axes have a negative impact on analysis of the financial information affecting comparability and should be avoided wherever possible.',Official SEC guidance on XBRL tagging practice and known comparability failure modes; US filers only,SEC staff,"Page fetched via curl with identifying User-Agent (WebFetch 403s on EDGAR) and converted to text locally; a living FAQ page, content may change after retrieval date",n/a
IMP-S07,"SEC's Financial Statement Data Sets are explicitly 'presented without change from the as filed financial reports' (i.e., as-first-filed, not vendor-restated), while SEC's own disclaimer states it cannot guarantee the data sets are free of extraction errors -- supporting both the structured-over-scraped rule and the as-first-reported point-in-time principle, with the caveat quoted directly.",U.S. Securities and Exchange Commission,SEC.gov,governing-primary,primary,Financial Statement Data Sets,https://www.sec.gov/data-research/sec-markets-data/financial-statement-data-sets,ongoing (page last reviewed 2026-03-31 at retrieval),"January 2009 - March 2026 data coverage, retrieved 2026-07-29",2026-07-29T14:10:34Z,"Main body text: 'The information is presented without change from the ""as filed"" financial reports submitted by each registrant.' Disclaimer: 'we cannot guarantee the accuracy of the data sets. In addition, it is possible inaccuracies or other errors were introduced into the data sets during the process of extracting the data.'","Official SEC bulk structured financial-statement data; US filers only, quarterly cadence",SEC,Bulk flat-file product is a downstream extraction of the same underlying XBRL as S05/S06; SEC explicitly disclaims perfect extraction fidelity,n/a
IMP-S08,"An empirical accounting-finance study found that hedge-fund-grade accruals-anomaly signals computed from as-filed SEC structured data behave differently (in one case, only exist) compared to the same signals computed from vendor-standardized (Compustat) data, and that hedge fund trading activity correlates with the as-filed-vs-vendor discrepancy itself -- direct evidence that vendor standardization of official filings is not a safe substitute for the as-filed structured source, supporting both the structured-source and point-in-time claim-type rules.","Kai Du (Penn State), Steven Huddart (Penn State), Xin Daniel Jiang (University of Waterloo)","Working paper (Penn State Smeal College of Business / University of Waterloo), seminar at SEC DERA",original-research,primary,Lost in Standardization: Revisiting Accounting-based Return Anomalies Using As-filed Financial Statement Data,https://business.columbia.edu/sites/default/files-efs/imce-uploads/CEASA/Events%20Page/revisiting_accounting-based_return_anomalies.pdf,2021-09 (this draft),September 2021 draft (as hosted by Columbia CEASA),2026-07-29T14:10:34Z,"Abstract, p.1-2: 'accruals calculated from as-filed data do predict returns and accruals calculated from Compustat data do not. Trades of hedge funds that download structured filings correlate with the as-filed accruals signal and, especially, the discrepancy between as-filed and Compustat accruals signals.'","US equity accounting-anomaly research using SEC as-filed XBRL vs Compustat; not options or weather data, but directly generalizes to any 'structured official source vs third-party-standardized source' decision","Penn State / Waterloo academic authors, independent of both SEC and S&P/Compustat",Unpublished/working-paper draft (not confirmed as journal-published as of retrieval); presented at SEC DERA seminar per acknowledgments but that is not SEC endorsement of findings,n/a
IMP-S09,RFC 7089 (Memento) defines a standard HTTP mechanism (TimeGate/TimeMap/Memento) for datetime-negotiated access to archived prior states of a web resource -- the relevant standard if the project wanted to corroborate captured web evidence against a public web archive rather than relying solely on local content-addressed raw capture.,"H. Van de Sompel (Los Alamos National Laboratory), M. Nelson (Old Dominion University), R. Sanderson (Los Alamos National Laboratory)",IETF (RFC Editor),governing-primary,primary,RFC 7089: HTTP Framework for Time-Based Access to Resource States -- Memento,https://www.rfc-editor.org/rfc/rfc7089.html,2013-12,"RFC 7089, Informational",2026-07-29T14:10:34Z,Abstract: 'The HTTP-based Memento framework bridges the present and past Web... by introducing datetime negotiation and TimeMaps.' Definitions sections: Memento = 'a resource that encapsulates a prior state of the Original Resource'; TimeGate = 'a resource that is capable of datetime negotiation'; TimeMap = 'a resource from which a list of URIs of Mementos... is available.' Status note: 'This document is not an Internet Standards Track specification; it is published for informational purposes.',General web-archiving/time-travel HTTP protocol standard; not finance or weather specific,IETF/independent standards body,"Informational RFC, not a mandatory standards-track spec; adoption is voluntary and depends on the target site/archive supporting Memento or on using a third-party archive (e.g. Wayback Machine) as the TimeGate",n/a
IMP-S10,"ISO 28500 (WARC) is the international standard container format for web-archive captures (headers for WARC-Record-ID, WARC-Date, Content-Length, digest fields, etc.), used by national libraries and large-scale crawlers for interoperable long-term web preservation -- the standard format this project would use if it moved from ad hoc raw HTML capture to a formal, portable web-archive record.",International Organization for Standardization (ISO/TC 46),ISO,governing-primary,secondary,ISO 28500:2017 Information and documentation -- WARC file format,https://www.loc.gov/preservation/digital/formats/fdd/fdd000236.shtml,2017,ISO 28500:2017 (2nd edition),2026-07-29T14:10:34Z,"Library of Congress format description page: WARC 'is designed to hold both payload content and control information from mainstream application-layer protocols such as HTTP, DNS, and FTP, and to support large-scale web archiving, digital preservation, exchange and analysis of web resources'; record types include warcinfo, response, resource, request, metadata, revisit, conversion, continuation","International standard container format for archived web captures; general-purpose, used by national libraries/cultural-heritage archives",ISO / Library of Congress digital-preservation program (independent of any single crawler vendor),Full ISO 28500:2017 text is paywalled (iso.org/standard/68004.html returned HTTP 403 to both curl and WebFetch); cited via the Library of Congress's official sustainability-of-digital-formats description of the same standard rather than the full ISO text itself,n/a
IMP-S11,"The official NWS API (api.weather.gov) is the authoritative real-time source for NWS forecasts, gridpoint data, and station observations, but its observations pipeline (via MADIS) can be delayed up to 20 minutes for QC processing -- relevant to timestamp-honesty when using it as a corroborating/independent check against CLI report values.",National Weather Service (NOAA),weather.gov,governing-primary,primary,NWS Web API documentation,https://www.weather.gov/documentation/services-web-api,n/a (living documentation page),retrieved 2026-07-29,2026-07-29T14:10:34Z,"Page text: 'The National Weather Service (NWS) API allows developers access to critical forecasts, alerts, and observations...'; delay note: observations may be 'delayed... up to 20 minutes from MADIS... due to QC processing'",Official real-time NWS forecast/observation API; US only,"NOAA/NWS (same parent agency that issues CLI reports, so this is not an independent agency, only a different transmission/QC pipeline for largely the same station network)","Does not itself state whether it should be treated as authoritative over CLI reports for settlement purposes; that is this report's inference, not a claim made by the source",n/a
IMP-S12,"GHCN-Daily is NOAA/NCEI's official, quality-controlled archive of daily station climate values (100,000+ stations, ~0.3% of ~2 billion values flagged, 98-99% of flags are true errors) and is explicitly 'the official archive for the U.S. Cooperative Observer data' -- a candidate independent corroboration source for CLI-report values, though it archives the same underlying Cooperative Observer/ASOS network rather than a fully separate measurement source.",NOAA National Centers for Environmental Information (NCEI),ncei.noaa.gov,governing-primary,primary,Global Historical Climatology Network daily (GHCNd),https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily,n/a (living product page),retrieved 2026-07-29,2026-07-29T14:10:34Z,"Page text: dataset 'flags approximately 0.3% of nearly 2 billion data values', '98-99% of the values flagged are true data errors'; GHCN-Daily is described as 'the official archive for the U.S. Cooperative Observer data', integrating 'more than 25 data source components'","Official quality-controlled daily climate-station archive; global coverage, primary value for the project's US station set","NOAA/NCEI (same parent agency and largely the same station network as NWS/CLI, so corroboration value is about independent QC/transmission pipeline, not independent instrumentation)",Not a fully independent data source from CLI reports -- both trace back to NWS Cooperative Observer/ASOS station instruments; this limits its value as a true cross-source check versus a true second-agency source,n/a
IMP-S13,"RFC 3161 defines the standards-track Time-Stamp Protocol (TSP), letting a Time Stamping Authority cryptographically bind a document hash to a trusted time, providing third-party-verifiable proof that data existed at or before a given time -- the relevant standard for 'trusted timestamping of receipts' if a stronger-than-local-clock existence proof were ever needed.","C. Adams, P. Cain, D. Pinkas, R. Zuccherato (IETF PKIX working group)",IETF (RFC Editor),governing-primary,primary,RFC 3161: Internet X.509 Public Key Infrastructure Time-Stamp Protocol (TSP),https://www.rfc-editor.org/rfc/rfc3161.html,2001-08,"RFC 3161, Standards Track",2026-07-29T14:10:34Z,Abstract: 'This document describes the format of a request sent to a Time Stamping Authority (TSA) and of the response that is returned. It also establishes several security-relevant requirements for TSA operation.',General cryptographic timestamping protocol; not finance/weather specific,IETF PKIX working group,"Standards-track (unlike Memento), but requires trusting/reaching an external Time Stamping Authority service, which is a dependency this local-first, offline-CI environment does not otherwise have",n/a
IMP-S14,"Reproducible-computational-research guidance calls for recording exact program/dependency versions, storing raw data behind every reported figure so it can be independently re-derived, and explicitly connecting every textual claim to the precise script/run that produced it -- directly supports adding a lightweight per-run reproducibility manifest (dependency lock hash, exact command, raw-data pointer) alongside each research artifact.","Geir Kjetil Sandve, Anton Nekrutenko, James Taylor, Eivind Hovig",PLOS Computational Biology,original-research,primary,Ten Simple Rules for Reproducible Computational Research,https://journals.plos.org/ploscompbiol/article?id=10.1371%2Fjournal.pcbi.1003285,2013-10-24,PLOS Comput Biol 9(10):e1003285,2026-07-29T14:10:34Z,"Rule 3: 'In order to exactly reproduce a given result, it may be necessary to use programs in the exact versions used originally.' Rule 7: storing raw data behind figures 'in a systematic manner, so as to allow raw data for a given figure to be easily retrieved.' Rule 9: 'you will have to connect a given textual statement to the precise results underlying the statement.'","General computational-research reproducibility practice; domain-agnostic, peer-reviewed and widely cited",Independent academic authors (Oslo/Penn State/Radboud-affiliated at time of writing),"General software/data-science reproducibility guidance, not written for financial-research or LLM-ingestion pipelines specifically",n/a
IMP-S15,"SQuAD 2.0 shows that requiring a system to abstain when no answer is supported is a distinct, harder skill from answering when an answer exists (a strong model's F1 falls from 86% on answerable-only SQuAD 1.1 to 66% on SQuAD 2.0's mixed answerable/unanswerable set) -- relevant evidence that an admission pipeline's 'abstain' state needs its own held-out evaluation questions, not just accuracy on answerable claims.","Pranav Rajpurkar, Robin Jia, Percy Liang (Stanford)",arXiv preprint,original-research,primary,Know What You Don't Know: Unanswerable Questions for SQuAD,https://arxiv.org/abs/1806.03822,2018-06-11,v3,2026-07-29T14:10:34Z,"Abstract: 'systems must not only answer questions when possible, but also determine when no answer is supported by the paragraph and abstain from answering'; 'A strong neural system that gets 86% F1 on SQuAD 1.1 achieves only 66% F1 on SQuAD 2.0.'","Reading-comprehension abstention benchmark methodology; general-domain QA, not finance/weather specific, but the abstention-evaluation methodology generalizes",Stanford academic authors,"Preprint (also published ACL 2018); benchmark is single-passage span-extraction QA, not multi-document retrieval-and-admission",n/a
IMP-S16,"BEIR demonstrates a reusable methodology for building a small, rigorous retrieval-evaluation benchmark: curate diverse query sets with known relevance judgments (qrels) across heterogeneous domains/tasks and measure retrieval quality (e.g. nDCG@10) against them zero-shot; also finds classic BM25 lexical search is a robust baseline that many neural retrievers fail to beat -- directly informs how to build a small golden-question benchmark per this project's four evidence domains.","Nandan Thakur, Nils Reimers, Andreas Rucklé, Abhishek Srivastava, Iryna Gurevych (UKP Lab, TU Darmstadt)",arXiv preprint; NeurIPS 2021 Datasets and Benchmarks Track,original-research,primary,BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models,https://arxiv.org/abs/2104.08663,2021-04-17,NeurIPS 2021 camera-ready,2026-07-29T14:10:34Z,"Abstract: 'We leverage a careful selection of 18 publicly available datasets from diverse text retrieval tasks and domains'; finding: 'BM25 is a robust baseline' while 're-ranking and late-interaction based models on average achieve the best zero-shot performances, however, at high computational costs.'",General information-retrieval benchmark-construction methodology; not finance/weather/options specific but the qrel-curation method transfers directly,"TU Darmstadt UKP Lab (academic, tool-vendor-independent)","Benchmark covers general open-domain retrieval tasks, not the four specific evidence domains named in this project's brief (filings, options specs, NWS values, Kalshi rules), so applying it here requires building new domain qrels from scratch, which this paper does not provide",n/a
IMP-S17,"RAGAS proposes reference-free metrics (faithfulness, answer relevance, context relevance/precision/recall) to evaluate a RAG pipeline's retrieval and generation quality without requiring hand-labeled ground-truth answers for every query -- an alternative/complementary approach to a hand-built golden-question benchmark for measuring retrieval and grounding quality cheaply at small scale.","Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert",arXiv preprint; EACL 2024,original-research,primary,Ragas: Automated Evaluation of Retrieval Augmented Generation,https://arxiv.org/abs/2309.15217,2023-09-26,EACL 2024 (v2 2025-04-28),2026-07-29T14:10:34Z,"Abstract: introduces 'a suite of metrics which can be used to evaluate these different dimensions without having to rely on ground truth human annotations', covering retrieval's ability to identify relevant context, the LLM's faithfulness in using that context, and generation quality","General RAG-pipeline evaluation framework; domain-agnostic tool, not validated here against finance/weather ground truth",Independent open-source project authors (Cardiff University-affiliated for 2 authors),"Reference-free metrics are themselves computed by an LLM judge, so they inherit the LLM-as-judge reliability limits documented in S04 rather than being an independent ground truth",n/a
